Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
3840	-0.13291903	0.0	-0.13291903	-0.13291903	1.0	0.015605202	0.065701626	0.12758596	-0.21166854	0.019988237	0.094337516	0.1619235	-0.24769479	-1.334706	0.3289548	-0.7000532	-2.906672	-0.27806646	0.053238057	5273.969549417496
3840	-0.09846137	0.0	-0.09846137	-0.09846137	1.0	0.021839144	0.07386176	0.17209417	-0.18091945	0.028774457	0.095974945	0.18544611	-0.1908482	-1.3267405	0.2952837	-0.6343155	-2.3271155	-0.29274905	0.061754487	5274.632962942123
3840	0.10948577	0.0	0.10948577	0.10948577	1.0	0.03570456	0.065600984	0.16534002	-0.15995416	0.046497196	0.09132027	0.19885841	-0.2123113	-1.2931535	0.30607125	-0.6720691	-3.012731	-0.3001489	0.052679118	5275.303691625595
3840	0.19484253	0.0	0.19484253	0.19484253	1.0	0.030516496	0.07361879	0.16640854	-0.16803437	0.04541258	0.10221929	0.2187508	-0.258825	-1.3145351	0.29060617	-0.48135018	-2.809383	-0.30310696	0.06300445	5275.998185634613
3840	0.32330567	0.0	0.32330567	0.32330567	1.0	0.036833897	0.06915689	0.16606393	-0.17360017	0.0466711	0.097340524	0.19268158	-0.2480613	-1.3204823	0.34477568	-0.380116	-3.6899395	-0.30239326	0.06343232	5276.687990665436
3840	-0.4404051	0.0	-0.4404051	-0.4404051	1.0	0.041035116	0.075291984	0.20233321	-0.12803492	0.04008571	0.102232836	0.20937064	-0.23559062	-1.3523614	0.23305503	-0.36004972	-2.2830544	-0.30255607	0.066836804	5277.363508939743
3840	-0.4559586	0.0	-0.4559586	-0.4559586	1.0	0.030190744	0.07615088	0.15760975	-0.15617563	0.021334793	0.109360084	0.18568188	-0.25418857	-1.297163	0.253838	-0.6426554	-2.1636698	-0.2987972	0.06090501	5278.043956279755
3840	0.29385915	0.0	0.29385915	0.29385915	1.0	0.05232743	0.07625321	0.19844584	-0.12672181	0.051226802	0.09883519	0.21592474	-0.21465509	-1.301858	0.25617194	-0.45917058	-2.1061258	-0.29627714	0.046819977	5278.725380897522
3840	0.35781732	0.0	0.35781732	0.35781732	1.0	0.030008502	0.07434274	0.1833688	-0.16331176	0.018929828	0.10252855	0.21143192	-0.26944453	-1.3048565	0.27697462	-0.60293865	-2.4712148	-0.2834826	0.054983094	5280.026117324829
3840	0.096338116	0.0	0.096338116	0.096338116	1.0	0.027068967	0.07179074	0.1838601	-0.15541923	0.0139252525	0.099289514	0.18684913	-0.2725078	-1.3566946	0.2867048	-0.5809846	-2.3302176	-0.26919052	0.044440493	5280.69743013382
3840	-0.06122111	0.0	-0.06122111	-0.06122111	1.0	0.013902869	0.07574421	0.15918417	-0.17852764	0.0022715763	0.094569206	0.18868433	-0.27215448	-1.3043711	0.3087474	-0.61532855	-2.6491365	-0.27098414	0.06303226	5281.36899638176
3840	0.066808924	0.0	0.066808924	0.066808924	1.0	0.003423038	0.08234703	0.17308885	-0.19942063	-0.010559099	0.10716249	0.17543846	-0.2646884	-1.311101	0.24039121	-0.5993962	-1.9763703	-0.25941813	0.054913923	5282.03959107399
3840	-0.100411385	0.0	-0.100411385	-0.100411385	1.0	-0.0007564863	0.07781202	0.15679549	-0.20161025	-0.0024827956	0.10477158	0.17113295	-0.24062121	-1.3744665	0.24040823	-0.735533	-2.1265883	-0.26278454	0.06362809	5282.71192240715
3840	0.29713437	0.0	0.29713437	0.29713437	1.0	0.007719609	0.064353324	0.12993734	-0.17173877	0.010100348	0.08610071	0.16123696	-0.2736625	-1.3295251	0.27455565	-0.45467925	-2.3516512	-0.2631593	0.06731276	5283.37765622139
3840	0.27010527	0.0	0.27010527	0.27010527	1.0	-0.010153548	0.081079066	0.13914114	-0.20736031	-0.010895611	0.11123822	0.1591981	-0.28254223	-1.3840046	0.34495026	-0.6849797	-2.7898798	-0.25540608	0.05935057	5284.048463344574
3840	0.31258902	0.0	0.31258902	0.31258902	1.0	0.001238723	0.060943123	0.12068173	-0.15311909	0.011428645	0.085780375	0.16010264	-0.20343025	-1.3202991	0.22458243	-0.76079583	-2.1978498	-0.26151738	0.059710093	5284.736911773682
3840	0.2893417	0.0	0.2893417	0.2893417	1.0	-0.0037360124	0.07223015	0.13119857	-0.20599698	0.0022229562	0.10039404	0.17789225	-0.29577202	-1.3139544	0.29064217	-0.56727815	-2.8557177	-0.26025844	0.06325813	5285.440445661545
3840	0.3406279	0.0	0.3406279	0.3406279	1.0	-0.0013923696	0.07501909	0.16210303	-0.23067975	0.005097717	0.09991474	0.1682004	-0.27786854	-1.3143687	0.2609472	-0.62094164	-2.260655	-0.27300584	0.06932855	5286.11776304245
3840	-0.22778401	0.0	-0.22778401	-0.22778401	1.0	0.00088311825	0.07750375	0.16887033	-0.19477224	0.0057257265	0.10924791	0.18347491	-0.29791555	-1.340052	0.3155889	-0.5146861	-2.541962	-0.27785203	0.047703873	5286.798791885376
